epoch,acc,loss,wat_acc,whale_acc,lr,model,mode
0,0.757,0.4947,0.825673279,0.689894372,0.0006,resnet-152,train
1,0.8246,0.3953,0.913443247,0.734926235,0.0006,resnet-152,train
2,0.843,0.3578,0.913360838,0.758338578,0.0006,resnet-152,train
3,0.8462,0.3461,0.93571199,0.758304334,0.0006,resnet-152,train
4,0.8539,0.3376,0.945376821,0.761239563,0.0006,resnet-152,train
5,0.8544,0.3394,0.947710347,0.759987165,0.0006,resnet-152,train
6,0.8597,0.3234,0.954552578,0.761642057,0.0006,resnet-152,train
7,0.8631,0.3122,0.965166216,0.760588141,0.0006,resnet-152,train
8,0.8614,0.3175,0.955980861,0.766974817,0.0006,resnet-152,train
9,0.8661,0.3089,0.957606783,0.775305895,0.0006,resnet-152,train
10,0.868,0.3041,0.957463757,0.778522419,0.0006,resnet-152,train
11,0.8729,0.2977,0.959553037,0.784168013,0.0006,resnet-152,train
12,0.8753,0.2911,0.96304,0.788369876,0.0006,resnet-152,train
13,0.8723,0.2964,0.960581583,0.786433743,0.0006,resnet-152,train
14,0.8697,0.2946,0.955195424,0.78384,0.0006,resnet-152,train
15,0.8733,0.2956,0.960121717,0.787460317,0.0006,resnet-152,train
16,0.872,0.2924,0.960428819,0.781648121,0.0006,resnet-152,train
17,0.8702,0.2945,0.958726604,0.782456698,0.0006,resnet-152,train
18,0.8747,0.2886,0.957588226,0.790682731,0.0006,resnet-152,train
19,0.8679,0.2981,0.958617409,0.776334776,0.0006,resnet-152,train
20,0.8768,0.2871,0.963619108,0.788813886,0.0006,resnet-152,train
21,0.8705,0.2956,0.960831335,0.780887263,0.0006,resnet-152,train
22,0.8697,0.2952,0.957659987,0.784298301,0.0006,resnet-152,train
23,0.8726,0.2907,0.959879,0.785246687,0.0006,resnet-152,train
0,0.866385373,,0.863309353,1,0.0006,resnet-152,test
1,0.885372714,,0.882014388,1,0.0006,resnet-152,test
2,0.933895921,,0.934532374,0.90625,0.0006,resnet-152,test
3,0.905766526,,0.90647482,0.875,0.0006,resnet-152,test
4,0.958509142,,0.960431655,0.875,0.0006,resnet-152,test
5,0.915611814,,0.916546763,0.875,0.0006,resnet-152,test
6,0.937412096,,0.938848921,0.875,0.0006,resnet-152,test
7,0.933895921,,0.935251799,0.875,0.0006,resnet-152,test
8,0.936708861,,0.937410072,0.90625,0.0006,resnet-152,test
9,0.928270042,,0.927338129,0.96875,0.0006,resnet-152,test
10,0.931786217,,0.930215827,1,0.0006,resnet-152,test
11,0.934599156,,0.933093525,1,0.0006,resnet-152,test
12,0.938818565,,0.937410072,1,0.0006,resnet-152,test
13,0.937412096,,0.935971223,1,0.0006,resnet-152,test
14,0.936005626,,0.935251799,0.96875,0.0006,resnet-152,test
15,0.935302391,,0.936690647,0.875,0.0006,resnet-152,test
16,0.932489451,,0.931654676,0.96875,0.0006,resnet-152,test
17,0.933192686,,0.931654676,1,0.0006,resnet-152,test
18,0.936005626,,0.935251799,0.96875,0.0006,resnet-152,test
19,0.928973277,,0.928057554,0.96875,0.0006,resnet-152,test
20,0.933895921,,0.933093525,0.96875,0.0006,resnet-152,test
21,0.936005626,,0.935251799,0.96875,0.0006,resnet-152,test
22,0.938115331,,0.938129496,0.9375,0.0006,resnet-152,test
23,0.935302391,,0.934532374,0.96875,0.0006,resnet-152,test
