epoch,Acc,Loss,Error,LR,model
0,0.5059,0.9879,,0.2,densenet
1,0.5126,0.7658,,0.2,densenet
2,0.568,0.7219,,0.2,densenet
3,0.5817,0.7102,,0.2,densenet
4,0.6116,0.6812,,0.2,densenet
5,0.631,0.653,,0.2,densenet
6,0.6387,0.6464,,0.2,densenet
7,0.7055,0.5647,,0.2,densenet
8,0.7051,0.5557,,0.2,densenet
9,0.7079,0.5597,,0.2,densenet
10,0.7118,0.5549,,0.2,densenet
11,0.7214,0.5474,,0.2,densenet
12,0.7216,0.5445,,0.2,densenet
13,0.7198,0.5451,,0.2,densenet
14,0.7226,0.5399,,0.2,densenet
15,0.7169,0.5498,,0.2,densenet
16,0.7212,0.538,,0.2,densenet
17,0.7259,0.5318,,0.2,densenet
18,0.7244,0.5364,,0.2,densenet
19,0.7228,0.5365,,0.2,densenet
20,0.7337,0.5315,,0.2,densenet
21,0.7158,0.5456,,0.2,densenet
22,0.7184,0.5373,,0.2,densenet
23,0.7231,0.5359,,0.2,densenet
0,0.5008,0.9495,,0.1,densenet
1,0.5058,0.7621,,0.1,densenet
2,0.5186,0.7263,,0.1,densenet
3,0.5181,0.7159,,0.1,densenet
4,0.5441,0.7055,,0.1,densenet
5,0.5636,0.6919,,0.1,densenet
6,0.5919,0.6719,,0.1,densenet
7,0.6446,0.6272,,0.1,densenet
8,0.6531,0.6205,,0.1,densenet
9,0.6702,0.607,,0.1,densenet
10,0.69,0.5914,,0.1,densenet
11,0.683,0.5919,,0.1,densenet
12,0.7,0.5833,,0.1,densenet
13,0.7012,0.576,,0.1,densenet
14,0.7147,0.5612,,0.1,densenet
15,0.7185,0.5599,,0.1,densenet
16,0.7187,0.5563,,0.1,densenet
17,0.7216,0.5501,,0.1,densenet
18,0.7254,0.548,,0.1,densenet
19,0.7284,0.5438,,0.1,densenet
20,0.7331,0.543,,0.1,densenet
21,0.733,0.5435,,0.1,densenet
22,0.7344,0.5415,,0.1,densenet
23,0.7296,0.5401,,0.1,densenet
0,0.516,1.0254,,0.01,densenet
1,0.5423,0.7826,,0.01,densenet
2,0.5842,0.6722,,0.01,densenet
3,0.6151,0.6432,,0.01,densenet
4,0.6396,0.63,,0.01,densenet
5,0.653,0.6155,,0.01,densenet
6,0.6691,0.6027,,0.01,densenet
7,0.7201,0.5527,,0.01,densenet
8,0.7341,0.5333,,0.01,densenet
9,0.7468,0.5195,,0.01,densenet
10,0.7533,0.5095,,0.01,densenet
11,0.7647,0.4951,,0.01,densenet
12,0.7747,0.4864,,0.01,densenet
13,0.7794,0.4764,,0.01,densenet
14,0.7866,0.4675,,0.01,densenet
15,0.7916,0.462,,0.01,densenet
16,0.7942,0.4565,,0.01,densenet
17,0.7922,0.4553,,0.01,densenet
18,0.7959,0.4591,,0.01,densenet
19,0.7964,0.4526,,0.01,densenet
20,0.7982,0.4539,,0.01,densenet
21,0.7956,0.4523,,0.01,densenet
22,0.8045,0.4427,,0.01,densenet
23,0.7963,0.4539,,0.01,densenet
0,0.6988,0.597,,0.001,densenet
1,0.7842,0.4727,,0.001,densenet
2,0.7988,0.4451,,0.001,densenet
3,0.8056,0.4313,,0.001,densenet
4,0.8156,0.4137,,0.001,densenet
5,0.8312,0.3928,,0.001,densenet
6,0.8334,0.3846,,0.001,densenet
7,0.8488,0.3462,,0.001,densenet
8,0.8586,0.3291,,0.001,densenet
9,0.8611,0.3219,,0.001,densenet
10,0.8639,0.3187,,0.001,densenet
11,0.8657,0.3194,,0.001,densenet
12,0.8602,0.3193,,0.001,densenet
13,0.8646,0.3167,,0.001,densenet
14,0.8669,0.3125,,0.001,densenet
15,0.8729,0.3042,,0.001,densenet
16,0.8699,0.3094,,0.001,densenet
17,0.872,0.3021,,0.001,densenet
18,0.8705,0.3097,,0.001,densenet
19,0.87,0.3072,,0.001,densenet
20,0.8745,0.2965,,0.001,densenet
21,0.8694,0.3058,,0.001,densenet
22,0.8657,0.3162,,0.001,densenet
23,0.876,0.3003,,0.001,densenet
0,0.7048,0.5914,,0.0009,densenet
1,0.7771,0.4806,,0.0009,densenet
2,0.788,0.4578,,0.0009,densenet
3,0.8037,0.4283,,0.0009,densenet
4,0.8137,0.4212,,0.0009,densenet
5,0.8208,0.4055,,0.0009,densenet
6,0.8293,0.3927,,0.0009,densenet
7,0.8462,0.3511,,0.0009,densenet
8,0.8568,0.3348,,0.0009,densenet
9,0.852,0.3373,,0.0009,densenet
10,0.856,0.332,,0.0009,densenet
11,0.8607,0.3215,,0.0009,densenet
12,0.864,0.3154,,0.0009,densenet
13,0.8632,0.3204,,0.0009,densenet
14,0.8678,0.3124,,0.0009,densenet
15,0.8695,0.3102,,0.0009,densenet
16,0.8646,0.3132,,0.0009,densenet
17,0.8676,0.3111,,0.0009,densenet
18,0.8646,0.3162,,0.0009,densenet
19,0.8683,0.3113,,0.0009,densenet
20,0.866,0.3134,,0.0009,densenet
21,0.8709,0.3099,,0.0009,densenet
22,0.8677,0.3099,,0.0009,densenet
23,0.8623,0.3159,,0.0009,densenet
0,0.5967,0.6641,,0.00001,resnet-18
1,0.6459,0.6331,,0.00001,resnet-18
2,0.6697,0.6155,,0.00001,resnet-18
3,0.6883,0.5984,,0.00001,resnet-18
4,0.6955,0.5889,,0.00001,resnet-18
5,0.7134,0.5734,,0.00001,resnet-18
6,0.7152,0.5688,,0.00001,resnet-18
7,0.7243,0.5606,,0.00001,resnet-18
8,0.7253,0.5595,,0.00001,resnet-18
9,0.7351,0.5526,,0.00001,resnet-18
10,0.7322,0.5497,,0.00001,resnet-18
11,0.7367,0.5503,,0.00001,resnet-18
12,0.7318,0.5482,,0.00001,resnet-18
13,0.7326,0.552,,0.00001,resnet-18
14,0.7415,0.5428,,0.00001,resnet-18
15,0.7323,0.5476,,0.00001,resnet-18
16,0.7295,0.5481,,0.00001,resnet-18
17,0.7339,0.5509,,0.00001,resnet-18
18,0.7295,0.5515,,0.00001,resnet-18
19,0.729,0.5562,,0.00001,resnet-18
20,0.7364,0.5482,,0.00001,resnet-18
21,0.7335,0.5501,,0.00001,resnet-18
22,0.73,0.5513,,0.00001,resnet-18
23,0.7324,0.5505,,0.00001,resnet-18
0,0.7083,0.553,,0.0005,resnet-18
1,0.782,0.4599,,0.0005,resnet-18
2,0.8107,0.4197,,0.0005,resnet-18
3,0.817,0.4021,,0.0005,resnet-18
4,0.8251,0.3922,,0.0005,resnet-18
5,0.8294,0.3746,,0.0005,resnet-18
6,0.839,0.3627,,0.0005,resnet-18
7,0.8446,0.3522,,0.0005,resnet-18
8,0.8486,0.3421,,0.0005,resnet-18
9,0.847,0.3457,,0.0005,resnet-18
10,0.8524,0.338,,0.0005,resnet-18
11,0.8489,0.3387,,0.0005,resnet-18
12,0.8546,0.331,,0.0005,resnet-18
13,0.8477,0.34,,0.0005,resnet-18
14,0.8538,0.3385,,0.0005,resnet-18
15,0.8532,0.3328,,0.0005,resnet-18
16,0.8594,0.3217,,0.0005,resnet-18
17,0.8553,0.3304,,0.0005,resnet-18
18,0.8529,0.3327,,0.0005,resnet-18
19,0.8471,0.3415,,0.0005,resnet-18
20,0.8489,0.3345,,0.0005,resnet-18
21,0.8514,0.3306,,0.0005,resnet-18
22,0.8503,0.342,,0.0005,resnet-18
23,0.8551,0.3313,,0.0005,resnet-18
0,0.6781,0.5926,,0.0006,resnet-18
1,0.7767,0.468,,0.0006,resnet-18
2,0.801,0.4311,,0.0006,resnet-18
3,0.8222,0.3955,,0.0006,resnet-18
4,0.8198,0.4081,,0.0006,resnet-18
5,0.8273,0.3817,,0.0006,resnet-18
6,0.8288,0.3762,,0.0006,resnet-18
7,0.8462,0.3503,,0.0006,resnet-18
8,0.8492,0.3406,,0.0006,resnet-18
9,0.8446,0.3494,,0.0006,resnet-18
10,0.8487,0.3413,,0.0006,resnet-18
11,0.8511,0.3443,,0.0006,resnet-18
12,0.8498,0.3369,,0.0006,resnet-18
13,0.8509,0.3375,,0.0006,resnet-18
14,0.8484,0.3423,,0.0006,resnet-18
15,0.8557,0.3276,,0.0006,resnet-18
16,0.8552,0.331,,0.0006,resnet-18
17,0.8568,0.3254,,0.0006,resnet-18
18,0.858,0.328,,0.0006,resnet-18
19,0.8504,0.3359,,0.0006,resnet-18
