value,state,epoch,model,lr,mode
1381,tp,0,densenet,0.001,test
9,tn,0,densenet,0.001,test
23,fp,0,densenet,0.001,test
9,fn,0,densenet,0.001,test
1389,tp,1,densenet,0.001,test
12,tn,1,densenet,0.001,test
20,fp,1,densenet,0.001,test
1,fn,1,densenet,0.001,test
1373,tp,2,densenet,0.001,test
22,tn,2,densenet,0.001,test
10,fp,2,densenet,0.001,test
17,fn,2,densenet,0.001,test
1334,tp,3,densenet,0.001,test
21,tn,3,densenet,0.001,test
11,fp,3,densenet,0.001,test
56,fn,3,densenet,0.001,test
1238,tp,4,densenet,0.001,test
24,tn,4,densenet,0.001,test
8,fp,4,densenet,0.001,test
152,fn,4,densenet,0.001,test
1281,tp,5,densenet,0.001,test
31,tn,5,densenet,0.001,test
1,fp,5,densenet,0.001,test
109,fn,5,densenet,0.001,test
1235,tp,6,densenet,0.001,test
26,tn,6,densenet,0.001,test
6,fp,6,densenet,0.001,test
155,fn,6,densenet,0.001,test
1224,tp,7,densenet,0.001,test
28,tn,7,densenet,0.001,test
4,fp,7,densenet,0.001,test
166,fn,7,densenet,0.001,test
1231,tp,8,densenet,0.001,test
28,tn,8,densenet,0.001,test
4,fp,8,densenet,0.001,test
159,fn,8,densenet,0.001,test
1247,tp,9,densenet,0.001,test
26,tn,9,densenet,0.001,test
6,fp,9,densenet,0.001,test
143,fn,9,densenet,0.001,test
1248,tp,10,densenet,0.001,test
25,tn,10,densenet,0.001,test
7,fp,10,densenet,0.001,test
142,fn,10,densenet,0.001,test
1250,tp,11,densenet,0.001,test
27,tn,11,densenet,0.001,test
5,fp,11,densenet,0.001,test
140,fn,11,densenet,0.001,test
1283,tp,12,densenet,0.001,test
22,tn,12,densenet,0.001,test
10,fp,12,densenet,0.001,test
107,fn,12,densenet,0.001,test
1276,tp,13,densenet,0.001,test
26,tn,13,densenet,0.001,test
6,fp,13,densenet,0.001,test
114,fn,13,densenet,0.001,test
1260,tp,14,densenet,0.001,test
29,tn,14,densenet,0.001,test
3,fp,14,densenet,0.001,test
