val,lab,pred,mod,lr
1165,Water,Water,densenet,0.0009
30,Whale,Whale,densenet,0.0009
2,Whale,Water,densenet,0.0009
224,Water,Whale,densenet,0.0009
1281,Water,Water,densenet,0.001
31,Whale,Whale,densenet,0.001
1,Whale,Water,densenet,0.001
109,Water,Whale,densenet,0.001
1015,Water,Water,densenet,0.01
28,Whale,Whale,densenet,0.01
4,Whale,Water,densenet,0.01
375,Water,Whale,densenet,0.01
714,Water,Water,densenet,0.1
29,Whale,Whale,densenet,0.1
3,Whale,Water,densenet,0.1
676,Water,Whale,densenet,0.1
718,Water,Water,densenet,0.2
17,Whale,Whale,densenet,0.2
15,Whale,Water,densenet,0.2
672,Water,Whale,densenet,0.2
1296,Water,Water,resnet-18,0.0009
32,Whale,Whale,resnet-18,0.0009
0,Whale,Water,resnet-18,0.0009
94,Water,Whale,resnet-18,0.0009
1257,Water,Water,resnet-18,0.001
32,Whale,Whale,resnet-18,0.001
0,Whale,Water,resnet-18,0.001
3,Water,Whale,resnet-18,0.001
1129,Water,Water,resnet-18,0.01
26,Whale,Whale,resnet-18,0.01
6,Whale,Water,resnet-18,0.01
261,Water,Whale,resnet-18,0.01
963,Water,Water,resnet-18,0.1
27,Whale,Whale,resnet-18,0.1
5,Whale,Water,resnet-18,0.1
427,Water,Whale,resnet-18,0.1
998,Water,Water,resnet-18,0.2
22,Whale,Whale,resnet-18,0.2
10,Whale,Water,resnet-18,0.2
392,Water,Whale,resnet-18,0.2
1295,Water,Water,resnet-32,0.01
19,Whale,Whale,resnet-32,0.01
13,Whale,Water,resnet-32,0.01
95,Water,Whale,resnet-32,0.01
1295,Water,Water,resnet-32,0.0009
32,Whale,Whale,resnet-32,0.0009
0,Whale,Water,resnet-32,0.0009
95,Water,Whale,resnet-32,0.0009
984,Water,Water,resnet-32,0.1
22,Whale,Whale,resnet-32,0.1
10,Whale,Water,resnet-32,0.1
406,Water,Whale,resnet-32,0.1
1373,Water,Water,resnet-32,0.2
5,Whale,Whale,resnet-32,0.2
27,Whale,Water,resnet-32,0.2
17,Water,Whale,resnet-32,0.2
1279,Water,Water,resnet-32,0.001
31,Whale,Whale,resnet-32,0.001
1,Whale,Water,resnet-32,0.001
111,Water,Whale,resnet-32,0.001
1268,Water,Water,resnet-152,0.0009
15,Whale,Whale,resnet-152,0.0009
3,Whale,Water,resnet-152,0.0009
122,Water,Whale,resnet-152,0.0009
1255,Water,Water,resnet-152,0.001
18,Whale,Whale,resnet-152,0.001
0,Whale,Water,resnet-152,0.001
135,Water,Whale,resnet-152,0.001
357,Water,Water,resnet-152,0.01
13,Whale,Whale,resnet-152,0.01
5,Whale,Water,resnet-152,0.01
1033,Water,Whale,resnet-152,0.01
1371,Water,Water,resnet-152,0.1
11,Whale,Whale,resnet-152,0.1
7,Whale,Water,resnet-152,0.1
19,Water,Whale,resnet-152,0.1
1352,Water,Water,resnet-152,0.2
9,Whale,Whale,resnet-152,0.2
9,Whale,Water,resnet-152,0.2
38,Water,Whale,resnet-152,0.2
